,iata,airport,state,capital,country,latitude,longitude
193,HDN,Yampa Valley,Hayden,CO,USA,40.48118028,-107.2176597
195,HLN,Helena Regional,Helena,MT,USA,46.60681806,-111.9827503
197,HPN,Westchester Cty,White Plains,NY,USA,41.06695778,-73.70757444
198,HRL,Valley International,Harlingen,TX,USA,26.22850611,-97.65439389
199,HSV,Huntsville International ,Huntsville,AL,USA,34.6404475,-86.77310944
200,HTS,Tri-State Walker-Long ,Huntington,WV,USA,38.36666667,-82.55802778
203,ICT,Wichita Mid-Continent,Wichita,KS,USA,37.64995889,-97.43304583
204,IDA,Idaho Falls Regional,Idaho Falls,ID,USA,43.51455556,-112.0701667
206,ILM,Wilmington International,Wilmington,NC,USA,34.27061111,-77.90255556
209,IPL,Imperial County,Imperial,CA,USA,32.83422028,-115.5787456
211,ISP,Long Island - MacArthur,Islip,NY,USA,40.7952425,-73.10021194
212,ITH,Tompkins Cty ,Ithaca,NY,USA,42.49102778,-76.45844444
213,ITO,Hilo International,Hilo,HI,USA,19.72026306,-155.0484703
214,IYK,Inyokern,Inyokern,CA,USA,35.65884306,-117.8295122
215,JAC,Jackson Hole,Jackson,WY,USA,43.60732417,-110.7377389
216,JAN,Jackson International,Jackson,MS,USA,32.31116667,-90.07588889
219,JNU,Juneau International,Juneau,AK,USA,58.35496194,-134.5762764
220,KOA,Kona International At Keahole,Kailua Kona,HI,USA,19.73876583,-156.0456314
221,KTN,Ketchikan International,Ketchikan,AK,USA,55.35556861,-131.71374
222,LAN,Capital City,Lansing,MI,USA,42.7787,-84.58735806
225,LBB,Lubbock International,Lubbock,TX,USA,33.66363889,-101.8227778
226,LCH,Lake Charles Regional,Lake Charles,LA,USA,30.1260975,-93.22340361
227,LEX,Blue Grass ,Lexington,KY,USA,38.03697222,-84.60538889
228,LFT,Lafayette Regional,Lafayette,LA,USA,30.20527972,-91.987655
229,LGB,Long Beach (Daugherty ),Long Beach,CA,USA,33.81772222,-118.1516111
230,LIH,Lihue,Lihue,HI,USA,21.97598306,-159.3389581
231,LMT,Klamath Falls International,Klamath Falls,OR,USA,42.15614361,-121.7332081
232,LNK,Lincoln Municipal,Lincoln,NE,USA,40.85097222,-96.75925
233,LRD,Laredo International,Laredo,TX,USA,27.54373861,-99.46154361
234,LSE,La Crosse Municipal,La Crosse,WI,USA,43.87937972,-91.25653778
235,LWB,Greenbrier Valley,Lewisburg,WV,USA,37.85830556,-80.39947222
236,LWS,Lewiston-Nez Perce County,Lewiston,ID,USA,46.37449806,-117.0153944
237,LYH,Lynchburg Municipal-Preston Glenn ,Lynchburg,VA,USA,37.32668528,-79.20043056
238,MAF,Midland International,Midland,TX,USA,31.94252778,-102.2019139
239,MBS,Mbs International,Saginaw,MI,USA,43.53291472,-84.07964722
241,MDT,Harrisburg Intl,Harrisburg,PA,USA,40.19349528,-76.76340361
242,MEI,Key ,Meridian,MS,USA,32.33313333,-88.75120556
243,MFE,McAllen Miller International,McAllen,TX,USA,26.17583333,-98.23861111
244,MFR,Rogue Valley International,Medford,OR,USA,42.37422778,-122.8734978
245,MGM,Montgomery Regional Apt,Montgomery,AL,USA,32.30064417,-86.39397611
246,MHK,Manhattan Regional,Manhattan,KS,USA,39.14096722,-96.67083278
247,MHT,Manchester,Manchester,NH,USA,42.93451639,-71.43705583
248,MKG,Muskegon County,Muskegon,MI,USA,43.16948806,-86.23822306
249,MLB,Melbourne International ,Melbourne,FL,USA,28.10275,-80.64580556
250,MLI,Quad City,Moline,IL,USA,41.44852639,-90.50753917
251,MLU,Monroe Regional,Monroe,LA,USA,32.51086556,-92.03768778
252,MMH,Mammoth Yosemite,Mammoth Lakes,CA,USA,37.62404861,-118.8377722
253,MOB,Mobile Regional,Mobile,AL,USA,30.69141667,-88.24283333
254,MOD,Modesto City-County-Harry Sham ,Modesto,CA,USA,37.62581722,-120.9544214
255,MOT,Minot International,Minot,ND,USA,48.25937778,-101.2803339
256,MQT,Marquette County Airport,,,USA,46.353639,-87.395361
257,MRY,Monterey Peninsula,Monterey,CA,USA,36.5869825,-121.8429478
258,MSN,Dane County Regional,Madison,WI,USA,43.13985778,-89.33751361
259,MSO,Missoula International,Missoula,MT,USA,46.91630556,-114.0905556
260,MTJ,Montrose Regional,Montrose,CO,USA,38.50886722,-107.8938333
263,MYR,Myrtle Beach International,Myrtle Beach,SC,USA,33.67975,-78.92833333
264,OAJ,Albert J Ellis,Jacksonville,NC,USA,34.82916444,-77.61213778
265,OME,Nome,Nome,AK,USA,64.51220222,-165.4452458
267,OTH,North Bend Muni,North Bend,OR,USA,43.41713889,-124.2460278
268,OTZ,Ralph Wien Memorial,Kotzebue,AK,USA,66.88467694,-162.5985497
270,PAH,Barkley Regional,Paducah,KY,USA,37.06083333,-88.77375
272,PHF,Newport News Williamsburg International,Newport News,VA,USA,37.13189556,-76.4929875
273,PIA,Greater Peoria Regional,Peoria,IL,USA,40.66424333,-89.69330556
275,PIE,St. Petersburg-Clearwater International,St. Petersburg,FL,USA,27.91076333,-82.68743944
276,PIH,Pocatello Regional,Pocatello,ID,USA,42.91130556,-112.5958611
278,PLN,Pellston Regional  of Emmet County,Pellston,MI,USA,45.5709275,-84.796715
279,PNS,Pensacola Regional,Pensacola,FL,USA,30.47330556,-87.18744444
281,PSC,Tri-Cities,Pasco,WA,USA,46.26468028,-119.1190292
282,PSE,Mercedita,Ponce,PR,USA,18.00830278,-66.56301194
283,PSG,James C. Johnson Petersburg,Petersburg,AK,USA,56.80165194,-132.9452781
284,PSP,Palm Springs International,Palm Springs,CA,USA,33.82921556,-116.5062531
286,PWM,Portland International Jetport,Portland,ME,USA,43.64616667,-70.30875
287,RAP,Rapid City Regional,Rapid City,SD,USA,44.04532139,-103.0573708
288,RDD,Redding Municipal,Redding,CA,USA,40.50898361,-122.2934019
289,RDM,Roberts ,Redmond,OR,USA,44.25406722,-121.1499633
292,RKS,Rock Springs-Sweetwater County,Rock Springs,WY,USA,41.5942175,-109.0651928
293,ROA,Roanoke Regional  Woodrum ,Roanoke,VA,USA,37.32546833,-79.97542833
294,ROC,Greater Rochester Int'l,Rochester,NY,USA,43.11886611,-77.67238389
295,ROW,Roswell Industrial Air Center,Roswell,NM,USA,33.30155556,-104.5305556
296,RST,Rochester International,Rochester,MN,USA,43.90882639,-92.49798722
297,SAF,Santa Fe Municipal,Santa Fe,NM,USA,35.61677778,-106.0881389
298,SAV,Savannah International,Savannah,GA,USA,32.12758333,-81.20213889
299,SBA,Santa Barbara Municipal,Santa Barbara,CA,USA,34.42621194,-119.8403733
300,SBN,South Bend Regional,South Bend,IN,USA,41.70895361,-86.31847417
301,SBP,San Luis Obispo Co-McChesney ,San Luis Obispo,CA,USA,35.23705806,-120.6423931
302,SCC,Deadhorse,Deadhorse,AK,USA,70.19475583,-148.4651608
303,SCE,University Park,,,USA,40.851206,-77.846302
304,SGF,Springfield-Branson Regional,Springfield,MO,USA,37.24432611,-93.38685806
305,SGU,St George Muni,St George,UT,USA,37.09058333,-113.5930556
307,SHV,Shreveport Regional,Shreveport,LA,USA,32.4466275,-93.82559833
308,SIT,Sitka,Sitka,AK,USA,57.04713806,-135.3615983
309,SJT,San Angelo Regional  Mathis ,San Angelo,TX,USA,31.35775,-100.4963056
310,SMX,Santa Maria Pub Capt G Allan Hancock ,Santa Maria,CA,USA,34.89924833,-120.4575825
311,SPI,Capital,Springfield,IL,USA,39.84395194,-89.67761861
313,SPS,Sheppard AFB Wichita Falls Municipal,Wichita Falls,TX,USA,33.98879611,-98.49189333
314,SRQ,Sarasota Bradenton International,Sarasota,FL,USA,27.39533333,-82.55411111
316,STT,Cyril E. King,Charlotte Amalie,VI,USA,18.33730556,-64.97336111
317,STX,Henry E. Rohlsen ,Christiansted,VI,USA,17.70188889,-64.79855556
318,SUN,Friedman Memorial,Hailey,ID,USA,43.50484139,-114.2965903
320,SWF,Stewart,Newburgh,NY,USA,41.50409361,-74.10483833
321,SYR,Syracuse-Hancock Intl,Syracuse,NY,USA,43.11118694,-76.10631056
322,TEX,Telluride Regional,Telluride,CO,USA,37.95375861,-107.90848
323,TLH,Tallahassee Regional,Tallahassee,FL,USA,30.39652778,-84.35033333
324,TOL,Toledo Express,Toledo,OH,USA,41.58680556,-83.80783333
325,TRI,Tri-Cities Regional,Bristol,TN,USA,36.47521417,-82.40742056
328,TVC,Cherry Capital,Traverse City,MI,USA,44.74144472,-85.582235
329,TWF,Joslin Field - Magic Valley,Twin Falls,ID,USA,42.48180389,-114.4877356
330,TXK,Texarkana Regional-Webb ,Texarkana,AR,USA,33.45370806,-93.99102
331,TYR,Tyler Pounds ,Tyler,TX,USA,32.35413889,-95.40238611
332,TYS,McGhee-Tyson,Knoxville,TN,USA,35.81248722,-83.99285583
334,VLD,Valdosta Regional,Valdosta,GA,USA,30.7825,-83.27672222
335,VPS,Eglin Air Force Base,Valparaiso,FL,USA,30.48325,-86.5254
336,WRG,Wrangell,Wrangell,AK,USA,56.48432583,-132.3698242
338,XNA,Northwest Arkansas Regional,Fayetteville Springdale Rogers,AR,USA,36.28186944,-94.30681111
339,YAK,Yakutat,Yakutat,AK,USA,59.50336056,-139.6602261
340,YUM,Yuma MCAS-Yuma International,Yuma,AZ,USA,32.65658333,-114.6059722
